ID,Gazetteer,L1 code,L2 code,L3 code,L4 code,Kew region code,Kew region subdivision,Kew region,Synonym,Notes
1,Abu Dhabi,3.0000000000000000e+00,3.5000000000000000e+01,GST,GST-UA,2.0000000000000000e+00,A,Orient,Abu Zabi;  United Arab Emirates,
2,Afghanistan,3.0000000000000000e+00,3.4000000000000000e+01,AFG,AFG-OO,2.0000000000000000e+00,A,Orient,,
3,Ajman,3.0000000000000000e+00,3.5000000000000000e+01,GST,GST-UA,2.0000000000000000e+00,A,Orient,United Arab Emirates,
4,Åland Is.,1.0000000000000000e+00,1.0000000000000000e+01,FIN,FIN-OO,1.0000000000000000e+00,,Europe,,self-governing I. province of Finland
5,Albania,1.0000000000000000e+00,1.3000000000000000e+01,ALB,ALB-OO,1.0000000000000000e+00,,Europe,,
6,Aleutian Is.,7.0000000000000000e+00,7.0000000000000000e+01,ALU,ALU-OO,1.3000000000000000e+01,,North America,,territory of U.S.A.
7,Algeria,2.0000000000000000e+00,2.0000000000000000e+01,ALG,ALG-OO,2.0000000000000000e+00,B,North Africa,,
8,American Samoa,6.0000000000000000e+00,6.0000000000000000e+01,SAM,SAM-AS,9.0000000000000000e+00,D,Samoan Islands,,unincorporated territory of U.S.A.
9,Andorra,1.0000000000000000e+00,1.2000000000000000e+01,SPA,SPA-AN,1.0000000000000000e+00,,Europe,,principality under Franco-Spanish sovereignty
10,Angola,2.0000000000000000e+00,2.6000000000000000e+01,ANG,ANG-OO,1.0000000000000000e+01,E,South Tropical Africa,,excluding Cabinda
11,Anguilla,8.0000000000000000e+00,8.1000000000000000e+01,LEE,LEE-AG,1.5000000000000000e+01,,West Indies,,U.K. dependent territory
12,Antigua-Barbuda,8.0000000000000000e+00,8.1000000000000000e+01,LEE,LEE-AB,1.5000000000000000e+01,,West Indies,,
14,Armeniya,3.0000000000000000e+00,3.3000000000000000e+01,TCS,TCS-AR,2.0000000000000000e+00,A,Orient,,
15,Aruba,8.0000000000000000e+00,8.1000000000000000e+01,ARU,ARU-OO,1.5000000000000000e+01,,West Indies,,self-governing I. of Netherlands Antilles
16,Ascension,2.0000000000000000e+00,2.8000000000000000e+01,ASC,ASC-OO,1.0000000000000000e+01,F,St Helena and Ascension,,I. Dependency of St.Helena
17,Ashmore and Cartier Is.,5.0000000000000000e+00,5.0000000000000000e+01,WAU,WAU-AC,7.0000000000000000e+00,,Australia,,External Territory of Australia
18,Australia,5.0000000000000000e+00,5.0000000000000000e+01,,,7.0000000000000000e+00,,Australia,Region 50 Australia,
19,Australian Antarctic Territory,9.0000000000000000e+00,9.1000000000000000e+01,ANT,ANT-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,
20,Austria,1.0000000000000000e+00,1.1000000000000000e+01,AUT,AUT-AU,1.0000000000000000e+00,,Europe,,
21,Azerbaijan,3.0000000000000000e+00,3.3000000000000000e+01,TCS,TCS-AZ,2.0000000000000000e+00,A,Orient,Azerbaydzhan,
22,Azores,2.0000000000000000e+00,2.1000000000000000e+01,AZO,AZO-OO,2.0000000000000000e+00,C,Atlantic Islands,,self-governing I. Region of Portugal
23,Bahamas,8.0000000000000000e+00,8.1000000000000000e+01,BAH,BAH-OO,1.5000000000000000e+01,,West Indies,,
24,Bahrain,3.0000000000000000e+00,3.5000000000000000e+01,GST,GST-BA,2.0000000000000000e+00,A,Orient,,
26,Bangladesh,4.0000000000000000e+00,4.0000000000000000e+01,BAN,BAN-OO,5.0000000000000000e+00,,India,,
27,Barbados,8.0000000000000000e+00,8.1000000000000000e+01,WIN,WIN-BA,1.5000000000000000e+01,,West Indies,,
28,Bear I.,1.0000000000000000e+00,1.0000000000000000e+01,SVA,SVA-OO,1.0000000000000000e+00,,Europe,Bjornoya,I. of Svalbard (to Norway)
29,Belgium,1.0000000000000000e+00,1.1000000000000000e+01,BGM,BGM-BE,1.0000000000000000e+00,,Europe,,
30,Belize,8.0000000000000000e+00,8.0000000000000000e+01,BLZ,BLZ-OO,1.4000000000000000e+01,,Central America,,
31,Belorussiya,1.0000000000000000e+00,1.4000000000000000e+01,BLR,BLR-OO,1.0000000000000000e+00,,Europe,Belarus,
32,Benin,2.0000000000000000e+00,2.2000000000000000e+01,BEN,BEN-OO,1.0000000000000000e+01,A,West Tropical Africa,,
33,Bermuda,8.0000000000000000e+00,8.1000000000000000e+01,BER,BER-OO,1.5000000000000000e+01,,West Indies,,self-governing U.K. Crown Colony
34,Bhutan,4.0000000000000000e+00,4.0000000000000000e+01,EHM,EHM-BH,5.0000000000000000e+00,,India,,
35,Bioko,2.0000000000000000e+00,2.3000000000000000e+01,GGI,GGI-BI,1.0000000000000000e+01,B,Cameroons and Congo,,I. of Equatorial Guinea
36,Bolivia,8.0000000000000000e+00,8.3000000000000000e+01,BOL,BOL-OO,1.7000000000000000e+01,,West Tropical South America,,
37,Bonaire,8.0000000000000000e+00,8.1000000000000000e+01,NLA,NLA-BO,1.5000000000000000e+01,,West Indies,,self-governing I. of Netherlands Antilles
38,Bonin Is.,3.0000000000000000e+00,3.8000000000000000e+01,OGA,OGA-OO,4.0000000000000000e+00,,Eastern Asia,Ogasawara-Shoto,Is. of Japan
39,Bophutatswana,2.0000000000000000e+00,2.7000000000000000e+01,,,1.2000000000000000e+01,,South Africa,,Transvaal or Cape Province
40,Borneo,4.0000000000000000e+00,4.2000000000000000e+01,BOR,,6.0000000000000000e+00,C,Malay Islands,,comprises Brunei, Kalimantan, Sabah, Sarawak
41,Bosnia,1.0000000000000000e+00,1.3000000000000000e+01,YUG,YUG-BH,1.0000000000000000e+00,,Europe,Bosnia-Herzegovina,
42,Botswana,2.0000000000000000e+00,2.7000000000000000e+01,BOT,BOT-OO,1.0000000000000000e+01,E,South Tropical Africa,,
43,Bougainville,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-NO,9.0000000000000000e+00,A,Melanesia,,part of Papua New Guinea
44,Brazil,8.0000000000000000e+00,8.4000000000000000e+01,,,1.6000000000000000e+01,,East Tropical South America,Region 84 Brazil,
45,British Antarctic Territory,9.0000000000000000e+00,9.1000000000000000e+01,ANT,ANT-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,U.K. dependent territory
46,British Indian Ocean Territory,4.0000000000000000e+00,4.0000000000000000e+01,CGS,CGS-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,,U.K. dependent territory comprising Chagos Archipelago
47,Brunei,4.0000000000000000e+00,4.2000000000000000e+01,BOR,BOR-BR,6.0000000000000000e+00,C,Malay Islands,,
48,Bulgaria,1.0000000000000000e+00,1.3000000000000000e+01,BUL,BUL-OO,1.0000000000000000e+00,,Europe,,
49,Burkina,2.0000000000000000e+00,2.2000000000000000e+01,BKN,BKN-OO,1.0000000000000000e+01,A,West Tropical Africa,,
50,Burma,4.0000000000000000e+00,4.1000000000000000e+01,MYA,MYA-OO,5.0000000000000000e+00,,India,Myanmar,
51,Burundi,2.0000000000000000e+00,2.3000000000000000e+01,BUR,BUR-OO,1.0000000000000000e+01,B,Cameroons and Congo,,
52,Cambodia,4.0000000000000000e+00,4.1000000000000000e+01,CBD,CBD-OO,6.0000000000000000e+00,B,Indo-China,,
331,,2.0000000000000000e+00,2.4000000000000000e+01,SOC,SOC-OO,1.0000000000000000e+01,C,North East Tropical Africa,,
332,Abemama,6.0000000000000000e+00,6.0000000000000000e+01,GIL,GIL-OO,9.0000000000000000e+00,D,Samoan Islands,,
333,,3.0000000000000000e+00,3.3000000000000000e+01,TCS,TCS-AB,2.0000000000000000e+00,A,Orient,,
334,Abyssinia,2.0000000000000000e+00,2.4000000000000000e+01,ETH,ETH-OO,1.0000000000000000e+01,C,North East Tropical Africa,Ethiopia,
335,Acklins I.,8.0000000000000000e+00,8.1000000000000000e+01,BAH,BAH-OO,1.5000000000000000e+01,,West Indies,,
336,Açôres,2.0000000000000000e+00,2.1000000000000000e+01,AZO,AZO-OO,2.0000000000000000e+00,C,Atlantic Islands,,
337,Acre,8.0000000000000000e+00,8.4000000000000000e+01,BZN,BZN-AC,1.6000000000000000e+01,,East Tropical South America,,
338,Actaeon Group,6.0000000000000000e+00,6.1000000000000000e+01,TUA,TUA-OO,9.0000000000000000e+00,E,S.E. Polynesia,,
339,Addu Atoll,4.0000000000000000e+00,4.0000000000000000e+01,MDV,MDV-OO,5.0000000000000000e+00,,India,,
340,Aden,3.0000000000000000e+00,3.5000000000000000e+01,YEM,YEM-SY,2.0000000000000000e+00,A,Orient,,
341,Admiralty Is.,4.0000000000000000e+00,4.2000000000000000e+01,BIS,BIS-OO,6.0000000000000000e+00,E,New Guinea,,
342,Adygeysk,3.0000000000000000e+00,3.3000000000000000e+01,NCS,NCS-KR,2.0000000000000000e+00,A,Orient,,
343,Adzhariya,3.0000000000000000e+00,3.3000000000000000e+01,TCS,TCS-AD,2.0000000000000000e+00,A,Orient,,
344,African Banks,2.0000000000000000e+00,2.9000000000000000e+01,ALD,ALD-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,African Is.,part of Amirante group
345,Agalega,2.0000000000000000e+00,2.9000000000000000e+01,MAU,MAU-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,,
346,Aginsky Buryat,3.0000000000000000e+00,3.0000000000000000e+01,CTA,CTA-OO,3.0000000000000000e+00,,Northern Asia,,
347,Agrihan,6.0000000000000000e+00,6.2000000000000000e+01,MRN,MRN-NM,9.0000000000000000e+00,F,Micronesia,,
348,Aguascalientes,7.0000000000000000e+00,7.9000000000000000e+01,MXE,MXE-AG,1.4000000000000000e+01,,Central America,,
349,Ahvenanmaa,1.0000000000000000e+00,1.0000000000000000e+01,FIN,FIN-OO,1.0000000000000000e+00,,Europe,Aland Is.,
350,Aisén,8.0000000000000000e+00,8.5000000000000000e+01,CLS,CLS-AI,1.8000000000000000e+01,,Temperate South America,,
351,Aitutaki,6.0000000000000000e+00,6.1000000000000000e+01,COO,COO-OO,9.0000000000000000e+00,E,S.E. Polynesia,,
352,Al Fujayrah,3.0000000000000000e+00,3.5000000000000000e+01,GST,GST-UA,2.0000000000000000e+00,A,Orient,,
353,Al Manamah,3.0000000000000000e+00,3.5000000000000000e+01,GST,GST-BA,2.0000000000000000e+00,A,Orient,,
354,Alabama,7.0000000000000000e+00,7.8000000000000000e+01,ALA,ALA-OO,1.3000000000000000e+01,,North America,,
355,Alagoas,8.0000000000000000e+00,8.4000000000000000e+01,BZE,BZE-AL,1.6000000000000000e+01,,East Tropical South America,,
356,Alamagan,6.0000000000000000e+00,6.2000000000000000e+01,MRN,MRN-NM,9.0000000000000000e+00,F,Micronesia,,
357,Alaska,7.0000000000000000e+00,7.0000000000000000e+01,ASK,ASK-OO,1.3000000000000000e+01,,North America,,
358,Alberta,7.0000000000000000e+00,7.1000000000000000e+01,ABT,ABT-OO,1.3000000000000000e+01,,North America,,
359,Alboran,1.0000000000000000e+00,1.2000000000000000e+01,SPA,SPA-SP,1.0000000000000000e+00,,Europe,,
360,Albuquerque Cay,8.0000000000000000e+00,8.1000000000000000e+01,SWC,SWC-CC,1.4000000000000000e+01,,Central America,,
361,Aldabra I.,2.0000000000000000e+00,2.9000000000000000e+01,ALD,ALD-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,,
362,Alderney,1.0000000000000000e+00,1.2000000000000000e+01,FRA,FRA-CI,1.0000000000000000e+00,,Europe,,
363,Alegranza,2.0000000000000000e+00,2.1000000000000000e+01,CNY,CNY-OO,2.0000000000000000e+00,C,Atlantic Islands,,
364,Alejandro Selkirk I.,8.0000000000000000e+00,8.5000000000000000e+01,JNF,JNF-OO,1.8000000000000000e+01,,Temperate South America,,
365,Alexander Archipelago,7.0000000000000000e+00,7.0000000000000000e+01,ASK,ASK-OO,1.3000000000000000e+01,,North America,,
366,Alexander I.,9.0000000000000000e+00,9.1000000000000000e+01,ANT,ANT-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,part of British Antarctic Territory
367,Alofi,6.0000000000000000e+00,6.0000000000000000e+01,WAL,WAL-OO,9.0000000000000000e+00,D,Samoan Islands,,
368,Alor Is.,4.0000000000000000e+00,4.2000000000000000e+01,LSI,LSI-LS,6.0000000000000000e+00,C,Malay Islands,,
369,Alphonse I.,2.0000000000000000e+00,2.9000000000000000e+01,ALD,ALD-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,,part of Amirante group
370,Altai,3.0000000000000000e+00,3.0000000000000000e+01,ALT,ALT-OO,3.0000000000000000e+00,,Northern Asia,Altay,
371,Altay,3.0000000000000000e+00,3.0000000000000000e+01,ALT,ALT-OO,3.0000000000000000e+00,,Northern Asia,,
372,Altayskiy Kray,3.0000000000000000e+00,3.0000000000000000e+01,ALT,ALT-OO,3.0000000000000000e+00,,Northern Asia,,
373,Amami O-shima,3.0000000000000000e+00,3.8000000000000000e+01,NNS,NNS-OO,4.0000000000000000e+00,,Eastern Asia,,part of Amami-shoto
374,Amapá,8.0000000000000000e+00,8.4000000000000000e+01,BZN,BZN-AP,1.6000000000000000e+01,,East Tropical South America,,
375,Amazonas,8.0000000000000000e+00,8.4000000000000000e+01,BZN,BZN-AM,1.6000000000000000e+01,,East Tropical South America,,
376,Ambergris Cays,8.0000000000000000e+00,8.1000000000000000e+01,TCI,TCI-OO,1.5000000000000000e+01,,West Indies,,
377,Ambitle I.,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-NO,9.0000000000000000e+00,A,Melanesia,,one of Feni Is.
378,Ambon,4.0000000000000000e+00,4.2000000000000000e+01,MOL,MOL-OO,6.0000000000000000e+00,C,Malay Islands,,
379,Amboyna Cay,4.0000000000000000e+00,4.1000000000000000e+01,SCS,SCS-SI,6.0000000000000000e+00,F,South China Sea Islands,,
380,Ambrym,6.0000000000000000e+00,6.0000000000000000e+01,VAN,VAN-OO,9.0000000000000000e+00,A,Melanesia,,
381,America, United States of,7.0000000000000000e+00,,,,1.3000000000000000e+01,,North America,U.S.A.,
382,Amindivi Is.,4.0000000000000000e+00,4.0000000000000000e+01,LDV,LDV-OO,5.0000000000000000e+00,,India,,
383,Amirante group,2.0000000000000000e+00,2.9000000000000000e+01,ALD,ALD-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,,
384,Amorgos,1.0000000000000000e+00,1.3000000000000000e+01,GRC,GRC-OO,1.0000000000000000e+00,,Europe,,one of Kikladhes
385,Amsterdam I.,9.0000000000000000e+00,9.0000000000000000e+01,ASP,ASP-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,
386,Amsterdam-St.Paul Is.,9.0000000000000000e+00,9.0000000000000000e+01,ASP,ASP-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,
387,Amur,3.0000000000000000e+00,3.1000000000000000e+01,AMU,AMU-OO,3.0000000000000000e+00,,Northern Asia,,
388,Amurskaya oblast,3.0000000000000000e+00,3.1000000000000000e+01,AMU,AMU-OO,3.0000000000000000e+00,,Northern Asia,Amur,
389,Anafi,1.0000000000000000e+00,1.3000000000000000e+01,GRC,GRC-OO,1.0000000000000000e+00,,Europe,,one of Kikladhes
390,Anambas Is.,4.0000000000000000e+00,4.2000000000000000e+01,BOR,BOR-KA,6.0000000000000000e+00,C,Malay Islands,,
391,Anatahan,6.0000000000000000e+00,6.2000000000000000e+01,MRN,MRN-NM,9.0000000000000000e+00,F,Micronesia,,
392,Anatom,6.0000000000000000e+00,6.0000000000000000e+01,VAN,VAN-OO,9.0000000000000000e+00,A,Melanesia,,
393,Anchorage I.,6.0000000000000000e+00,6.0000000000000000e+01,TOK,TOK-MA,9.0000000000000000e+00,E,S.E. Polynesia,Suvorov I.,
394,Andaman Is.,4.0000000000000000e+00,4.1000000000000000e+01,AND,AND-AN,5.0000000000000000e+00,,India,,
395,Andhra Pradesh,4.0000000000000000e+00,4.0000000000000000e+01,IND,IND-AP,5.0000000000000000e+00,,India,,
396,Andikithira,1.0000000000000000e+00,1.3000000000000000e+01,GRC,GRC-OO,1.0000000000000000e+00,,Europe,,
397,Andipsara,3.0000000000000000e+00,3.4000000000000000e+01,EAI,EAI-OO,2.0000000000000000e+00,A,Orient,,
398,Andros,8.0000000000000000e+00,8.1000000000000000e+01,BAH,BAH-OO,1.5000000000000000e+01,,West Indies,,
399,Andros,1.0000000000000000e+00,1.3000000000000000e+01,GRC,GRC-OO,1.0000000000000000e+00,,Europe,,[Kikladhes] one of Kikladhes
400,Anegada,8.0000000000000000e+00,8.1000000000000000e+01,LEE,LEE-BV,1.5000000000000000e+01,,West Indies,,
401,Aneityum,6.0000000000000000e+00,6.0000000000000000e+01,VAN,VAN-OO,9.0000000000000000e+00,A,Melanesia,Anatom,
402,Angatau,6.0000000000000000e+00,6.1000000000000000e+01,TUA,TUA-OO,9.0000000000000000e+00,E,S.E. Polynesia,Fangatau,
404,Anhui,3.0000000000000000e+00,3.6000000000000000e+01,CHS,CHS-AH,4.0000000000000000e+00,,Eastern Asia,,
405,Anhwei,3.0000000000000000e+00,3.6000000000000000e+01,CHS,CHS-AH,4.0000000000000000e+00,,Eastern Asia,Anhui,
406,Annam,4.0000000000000000e+00,4.1000000000000000e+01,VIE,VIE-OO,6.0000000000000000e+00,B,Indo-China,,
407,Annobón,2.0000000000000000e+00,2.3000000000000000e+01,GGI,GGI-AN,1.0000000000000000e+01,B,Cameroons and Congo,,
408,Antarctica,9.0000000000000000e+00,9.1000000000000000e+01,ANT,ANT-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,
409,Antigua,8.0000000000000000e+00,8.1000000000000000e+01,LEE,LEE-AB,1.5000000000000000e+01,,West Indies,,
410,Antipodean Is.,5.0000000000000000e+00,5.1000000000000000e+01,ATP,ATP-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,
411,Antipodes Is.,5.0000000000000000e+00,5.1000000000000000e+01,ATP,ATP-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,
412,Antofagasta,8.0000000000000000e+00,8.5000000000000000e+01,CLN,CLN-AN,1.8000000000000000e+01,,Temperate South America,,
413,Aoba,6.0000000000000000e+00,6.0000000000000000e+01,VAN,VAN-OO,9.0000000000000000e+00,A,Melanesia,,
414,Aoga-shima,3.0000000000000000e+00,3.8000000000000000e+01,JAP,JAP-HN,4.0000000000000000e+00,,Eastern Asia,,
415,Arab Emirates,3.0000000000000000e+00,3.5000000000000000e+01,GST,GST-UA,2.0000000000000000e+00,A,Orient,,
416,Arabia,3.0000000000000000e+00,3.5000000000000000e+01,,,2.0000000000000000e+00,A,Orient,Region 35 Arabian Peninsula,
417,Aranuka,6.0000000000000000e+00,6.0000000000000000e+01,GIL,GIL-OO,9.0000000000000000e+00,D,Samoan Islands,,
418,Argentina Northeast,8.0000000000000000e+00,8.5000000000000000e+01,AGE,,1.8000000000000000e+01,,Temperate South America,,
419,Argentina Northwest,8.0000000000000000e+00,8.5000000000000000e+01,AGW,,1.8000000000000000e+01,,Temperate South America,,
420,Argentina South,8.0000000000000000e+00,8.5000000000000000e+01,AGS,,1.8000000000000000e+01,,Temperate South America,,
421,Aride I.,2.0000000000000000e+00,2.9000000000000000e+01,SEY,SEY-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,,
422,Arizona,7.0000000000000000e+00,7.6000000000000000e+01,ARI,ARI-OO,1.3000000000000000e+01,,North America,,
423,Arkansas,7.0000000000000000e+00,7.8000000000000000e+01,ARK,ARK-OO,1.3000000000000000e+01,,North America,,
424,Arkhangelsk,1.0000000000000000e+00,1.4000000000000000e+01,RUN,RUN-OO,1.0000000000000000e+00,,Europe,,
425,Armathia,1.0000000000000000e+00,1.3000000000000000e+01,KRI,KRI-OO,1.0000000000000000e+00,,Europe,,
426,Armenia,3.0000000000000000e+00,3.3000000000000000e+01,TCS,TCS-AR,2.0000000000000000e+00,A,Orient,Armeniya,
428,Arorae,6.0000000000000000e+00,6.0000000000000000e+01,GIL,GIL-OO,9.0000000000000000e+00,D,Samoan Islands,,
429,Aru Is.,4.0000000000000000e+00,4.2000000000000000e+01,NWG,NWG-IJ,6.0000000000000000e+00,E,New Guinea,,
431,Arunachal Pradesh,4.0000000000000000e+00,4.0000000000000000e+01,EHM,EHM-AP,5.0000000000000000e+00,,India,,
432,Ash Shariquah,3.0000000000000000e+00,3.5000000000000000e+01,GST,GST-UA,2.0000000000000000e+00,A,Orient,,
433,Ashmore Reef,5.0000000000000000e+00,5.0000000000000000e+01,WAU,WAU-AC,7.0000000000000000e+00,,Australia,,
434,Asia Is.,4.0000000000000000e+00,4.2000000000000000e+01,NWG,NWG-IJ,6.0000000000000000e+00,E,New Guinea,,
435,Assam,4.0000000000000000e+00,4.0000000000000000e+01,ASS,ASS-AS,5.0000000000000000e+00,,India,,
436,Assumption I.,2.0000000000000000e+00,2.9000000000000000e+01,ALD,ALD-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,,
437,Astakidha,1.0000000000000000e+00,1.3000000000000000e+01,GRC,GRC-OO,1.0000000000000000e+00,,Europe,,
438,Astipalaia,1.0000000000000000e+00,1.3000000000000000e+01,GRC,GRC-OO,1.0000000000000000e+00,,Europe,,one of Kikladhes
439,Astove I.,2.0000000000000000e+00,2.9000000000000000e+01,ALD,ALD-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,,
440,Astrakhan,1.0000000000000000e+00,1.4000000000000000e+01,RUS,RUS-OO,1.0000000000000000e+00,,Europe,,
441,Asuncion,6.0000000000000000e+00,6.2000000000000000e+01,MRN,MRN-NM,9.0000000000000000e+00,F,Micronesia,,
442,Ata,6.0000000000000000e+00,6.0000000000000000e+01,TON,TON-OO,9.0000000000000000e+00,D,Samoan Islands,,
443,Atacama,8.0000000000000000e+00,8.5000000000000000e+01,CLN,CLN-AT,1.8000000000000000e+01,,Temperate South America,,
444,Atafu,6.0000000000000000e+00,6.0000000000000000e+01,TOK,TOK-TO,9.0000000000000000e+00,D,Samoan Islands,,
445,Atiu,6.0000000000000000e+00,6.1000000000000000e+01,COO,COO-OO,9.0000000000000000e+00,E,S.E. Polynesia,,
446,Atol das Rocas,8.0000000000000000e+00,8.4000000000000000e+01,BZE,BZE-FN,1.6000000000000000e+01,,East Tropical South America,,
447,Auckland I.,5.0000000000000000e+00,5.1000000000000000e+01,ATP,ATP-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,
448,Aunuu,6.0000000000000000e+00,6.0000000000000000e+01,SAM,SAM-AS,9.0000000000000000e+00,D,Samoan Islands,,
449,Austral Is.,6.0000000000000000e+00,6.1000000000000000e+01,TUB,TUB-OO,9.0000000000000000e+00,E,S.E. Polynesia,Tubuai Is.,
450,Australian Capital Territory,5.0000000000000000e+00,5.0000000000000000e+01,NSW,NSW-CT,7.0000000000000000e+00,,Australia,,
451,Avarau,6.0000000000000000e+00,6.1000000000000000e+01,COO,COO-OO,9.0000000000000000e+00,E,S.E. Polynesia,,
452,Aves I.,8.0000000000000000e+00,8.1000000000000000e+01,LEE,LEE-AV,1.5000000000000000e+01,,West Indies,,[West Indies]
453,Aves, Islas Las,8.0000000000000000e+00,8.1000000000000000e+01,VNA,VNA-OO,1.7000000000000000e+01,,West Tropical South America,,[off Venezuela]
454,Avgo,1.0000000000000000e+00,1.3000000000000000e+01,GRC,GRC-OO,1.0000000000000000e+00,,Europe,,[off Kithira]
455,Avgo,1.0000000000000000e+00,1.3000000000000000e+01,KRI,KRI-OO,1.0000000000000000e+00,,Europe,,[off Kriti]
456,Ayios Evstratios,1.0000000000000000e+00,1.3000000000000000e+01,GRC,GRC-OO,1.0000000000000000e+00,,Europe,,
457,Ayu Is.,4.0000000000000000e+00,4.2000000000000000e+01,NWG,NWG-IJ,6.0000000000000000e+00,E,New Guinea,,
458,Az Zuqur I.,3.0000000000000000e+00,3.5000000000000000e+01,YEM,YEM-SY,2.0000000000000000e+00,A,Orient,,
460,Azerbaydzhan,3.0000000000000000e+00,3.3000000000000000e+01,TCS,TCS-AZ,2.0000000000000000e+00,A,Orient,,excluding Nagorno Karabakh and Nakhichevan
462,Babar Is.,4.0000000000000000e+00,4.2000000000000000e+01,LSI,LSI-LS,6.0000000000000000e+00,C,Malay Islands,,
463,Babase I.,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-NO,9.0000000000000000e+00,A,Melanesia,,one of Feni Is.
464,Babelthaup,6.0000000000000000e+00,6.2000000000000000e+01,CRL,CRL-PA,9.0000000000000000e+00,F,Micronesia,,part of Belau Is.
465,Badu I.,5.0000000000000000e+00,5.0000000000000000e+01,QLD,QLD-QU,7.0000000000000000e+00,,Australia,,
466,Baffin I.,7.0000000000000000e+00,7.0000000000000000e+01,NWT,NWT-OO,1.3000000000000000e+01,,North America,,
467,Bahawalpur,4.0000000000000000e+00,4.0000000000000000e+01,PAK,PAK-OO,5.0000000000000000e+00,,India,,
468,Bahia,8.0000000000000000e+00,8.4000000000000000e+01,BZE,BZE-BA,1.6000000000000000e+01,,East Tropical South America,,
469,Bahia Is.,8.0000000000000000e+00,8.1000000000000000e+01,SWC,SWC-HC,1.4000000000000000e+01,,Central America,,[Honduras]
470,Bahia Isabel,8.0000000000000000e+00,8.3000000000000000e+01,GAL,GAL-OO,1.7000000000000000e+01,,West Tropical South America,,
471,Baiko Dajudia,2.0000000000000000e+00,2.9000000000000000e+01,MCI,MCI-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,Bassas da India,
472,Baja California,7.0000000000000000e+00,7.9000000000000000e+01,MXN,MXN-BC,1.4000000000000000e+01,,Central America,,
473,Baja California Sur,7.0000000000000000e+00,7.9000000000000000e+01,MXN,MXN-BS,1.4000000000000000e+01,,Central America,,
474,Baja Nuevo,8.0000000000000000e+00,8.1000000000000000e+01,SWC,SWC-CC,1.5000000000000000e+01,,West Indies,,
475,Baker I.,6.0000000000000000e+00,6.0000000000000000e+01,HBI,HBI-OO,9.0000000000000000e+00,D,Samoan Islands,,
476,Balabac,4.0000000000000000e+00,4.2000000000000000e+01,PHI,PHI-OO,6.0000000000000000e+00,D,Philippines,,
477,Baleares,1.0000000000000000e+00,1.2000000000000000e+01,BAL,BAL-OO,1.0000000000000000e+00,,Europe,,I. Province of Spain
478,Bali,4.0000000000000000e+00,4.2000000000000000e+01,LSI,LSI-BA,6.0000000000000000e+00,C,Malay Islands,,
479,Ball's Pyramid,5.0000000000000000e+00,5.0000000000000000e+01,NFK,NFK-LH,7.0000000000000000e+00,,Australia,,
480,Balleny Is.,9.0000000000000000e+00,9.1000000000000000e+01,ANT,ANT-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,part of Ross Dependency
481,Baltic States,1.0000000000000000e+00,1.4000000000000000e+01,BLT,,1.0000000000000000e+00,,Europe,,
482,Baltistan,4.0000000000000000e+00,4.0000000000000000e+01,WHM,WHM-JK,5.0000000000000000e+00,,India,,
483,Baluchistan,4.0000000000000000e+00,4.0000000000000000e+01,PAK,PAK-OO,2.0000000000000000e+00,A,Orient,,
484,Banaba,6.0000000000000000e+00,6.0000000000000000e+01,GIL,GIL-OO,9.0000000000000000e+00,D,Samoan Islands,,
485,Banda Is.,4.0000000000000000e+00,4.2000000000000000e+01,MOL,MOL-OO,6.0000000000000000e+00,C,Malay Islands,,
486,Banggai Is.,4.0000000000000000e+00,4.2000000000000000e+01,SUL,SUL-OO,6.0000000000000000e+00,C,Malay Islands,,
487,Bangka,4.0000000000000000e+00,4.2000000000000000e+01,SUM,SUM-OO,6.0000000000000000e+00,C,Malay Islands,,
488,Banks I.,5.0000000000000000e+00,5.0000000000000000e+01,QLD,QLD-QU,7.0000000000000000e+00,,Australia,,in Torres Strait
489,Banks Is.,6.0000000000000000e+00,6.0000000000000000e+01,VAN,VAN-OO,9.0000000000000000e+00,A,Melanesia,,
