ID,Gazetteer,L1 code,L2 code,L3 code,L4 code,Kew region code,Kew region subdivision,Kew region,Synonym,Notes
1466,Monaco,1.0000000000000000e+00,1.2000000000000000e+01,FRA,FRA-MO,1.0000000000000000e+00,,Europe,,
1467,Mongolia,3.0000000000000000e+00,3.7000000000000000e+01,MON,MON-OO,3.0000000000000000e+00,,Northern Asia,,
1468,Mongolia, Inner,3.0000000000000000e+00,3.6000000000000000e+01,CHI,,4.0000000000000000e+00,,Eastern Asia,,
1469,Mongolian Autonomous Region,3.0000000000000000e+00,3.6000000000000000e+01,CHI,CHI-NM,4.0000000000000000e+00,,Eastern Asia,Nei Mongol,
1470,Mono I.,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-SO,9.0000000000000000e+00,A,Melanesia,,
1471,Montana,7.0000000000000000e+00,7.3000000000000000e+01,MNT,MNT-OO,1.3000000000000000e+01,,North America,,
1472,Montenegro,1.0000000000000000e+00,1.3000000000000000e+01,YUG,YUG-MN,1.0000000000000000e+00,,Europe,,
1473,Montserrat,8.0000000000000000e+00,8.1000000000000000e+01,LEE,LEE-MO,1.5000000000000000e+01,,West Indies,,U.K. Crown Colony
1474,Moorea,6.0000000000000000e+00,6.1000000000000000e+01,SCI,SCI-OO,9.0000000000000000e+00,E,S.E. Polynesia,,one of Iles du Vent
1475,Morant Cays,8.0000000000000000e+00,8.1000000000000000e+01,JAM,JAM-OO,1.5000000000000000e+01,,West Indies,,
1476,Mordoviya,1.0000000000000000e+00,1.4000000000000000e+01,RUC,RUC-OO,1.0000000000000000e+00,,Europe,,
1477,Morelos,7.0000000000000000e+00,7.9000000000000000e+01,MXC,MXC-MO,1.4000000000000000e+01,,Central America,,
1478,Morocco,2.0000000000000000e+00,2.0000000000000000e+01,MOR,MOR-MO,2.0000000000000000e+00,B,North Africa,,excluding Ceuta and Melilla
1479,Morocco,2.0000000000000000e+00,2.0000000000000000e+01,MOR,,2.0000000000000000e+00,B,North Africa,,including Ceuta and Melilla
1480,Mortlock I.,6.0000000000000000e+00,6.2000000000000000e+01,CRL,CRL-MF,9.0000000000000000e+00,F,Micronesia,,[Caroline Is]
1481,Mortlock Is.,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-SO,9.0000000000000000e+00,A,Melanesia,Tauu Is.,
1482,Moscow,1.0000000000000000e+00,1.4000000000000000e+01,RUC,RUC-OO,1.0000000000000000e+00,,Europe,,
1483,Mozambique,2.0000000000000000e+00,2.6000000000000000e+01,MOZ,MOZ-OO,1.0000000000000000e+01,E,South Tropical Africa,,
1484,Mozambique Channel Is.,2.0000000000000000e+00,2.9000000000000000e+01,MCI,MCI-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,,
1485,Mu Nggava,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-SO,9.0000000000000000e+00,A,Melanesia,Rennell I.,
1486,Muko-jima,3.0000000000000000e+00,3.8000000000000000e+01,OGA,OGA-OO,4.0000000000000000e+00,,Eastern Asia,,
1487,Mulgrave I.,5.0000000000000000e+00,5.0000000000000000e+01,QLD,QLD-QU,7.0000000000000000e+00,,Australia,Badu I.,
1488,Murmansk,1.0000000000000000e+00,1.4000000000000000e+01,RUN,RUN-OO,1.0000000000000000e+00,,Europe,,
1489,Murray I.,5.0000000000000000e+00,5.0000000000000000e+01,QLD,QLD-QU,7.0000000000000000e+00,,Australia,,
1490,Mururoa,6.0000000000000000e+00,6.1000000000000000e+01,TUA,TUA-OO,9.0000000000000000e+00,E,S.E. Polynesia,,
1491,Muscat,3.0000000000000000e+00,3.5000000000000000e+01,OMA,OMA-OO,2.0000000000000000e+00,A,Orient,,
1492,Mussau,4.0000000000000000e+00,4.2000000000000000e+01,BIS,BIS-OO,6.0000000000000000e+00,E,New Guinea,,one of St.Matthias Is.
1493,Mustique,8.0000000000000000e+00,8.1000000000000000e+01,WIN,WIN-SV,1.5000000000000000e+01,,West Indies,,one of Grenadines of St.Vincent
1494,Myanmar,4.0000000000000000e+00,4.1000000000000000e+01,MYA,MYA-OO,5.0000000000000000e+00,,India,,
1495,Myojin-jima,3.0000000000000000e+00,3.8000000000000000e+01,JAP,JAP-HN,4.0000000000000000e+00,,Eastern Asia,,
1496,Nagaland,4.0000000000000000e+00,4.0000000000000000e+01,ASS,ASS-NA,5.0000000000000000e+00,,India,,
1497,Nagar Haveli,4.0000000000000000e+00,4.0000000000000000e+01,IND,IND-DD,5.0000000000000000e+00,,India,,
1498,Nagorno Karabakh,3.0000000000000000e+00,3.3000000000000000e+01,TCS,TCS-NK,2.0000000000000000e+00,A,Orient,,
1499,Nakano-shima,3.0000000000000000e+00,3.8000000000000000e+01,NNS,NNS-OO,4.0000000000000000e+00,,Eastern Asia,,part of Tokara-retto
1500,Nakhichevan,3.0000000000000000e+00,3.3000000000000000e+01,TCS,TCS-NA,2.0000000000000000e+00,A,Orient,,
